Productivity Measures,Pilots & Co-Pilots ,Flight Attendants ,Maintenance,"Passenger, Cargo and Aircraft Handling",Other,Year
Passengers Per Employee,"8,570","3,664","10,726","2,309","5,517",2002
Passengers Per Employee,"8,598","4,072","8,124","3,165","7,057",2003
Passengers Per Employee,"11,120","4,648","12,984","2,435","15,446",2004
Passengers Per Employee,"10,892","4,368","13,961","2,560","15,601",2005
Passengers Per Employee,"11,044","4,659","14,300","2,739","18,910",2006
Passengers Per Employee,"10,790","4,551","13,982","2,726","18,154",2007
Passengers Per Employee,"9,965","4,779","9,730","2,804","21,619",2008
Passengers Per Employee,"10,049","4,323","13,652","2,664","19,902",2009
Passengers Per Employee,"9,809","4,242","12,998","2,637","19,397",2010
Passengers Per Employee,"9,199","4,002","12,390","2,414","17,027",2011
Passengers Per Employee,"9,351","4,308","11,302","2,190","17,622",2012
Passengers Per Employee,"8,809","4,234","13,547","2,067","19,318",2013
Passengers Per Employee,"8,577","4,266","13,512","2,219","20,627",2014
Passengers Per Employee,"8,587","4,469","13,612","2,414","21,896",2015
